"Name","separateProbe/birthcity/FP","separateProbe/birthcity/TF","separateProbe/birthday/FP","separateProbe/birthday/TF","sequentialProbe/FP_FULL","sequentialProbe/birthcity/FP","sequentialProbe/birthcity/TF","sequentialProbe/birthday/FP","sequentialProbe/birthday/TF","State","Notes","User","Tags","Created","Runtime","Sweep","BATCH_SIZE","EPOCHS","FIELDS","GRAD_CLIP","INVOCATION","K","LR","MODEL_TYPE","N","NAME","POST_REDUCE_PATH","PRE_REDUCE_PATH","SEED","SEQ_LEN","SHUFFLE_SEED","WARMUP_STEPS","WEIGHT_DECAY","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","attention_bias","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","dmodel","do_eval","do_predict","do_train","enable_jit_checkpoint","eosToken","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","head_dim","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","mlp_bias","model/num_parameters","numHeads","numLayers","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","pretraining_tp","project","push_to_hub","reducedEOSToken","reducedVocabSize","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.rope_theta","rope_parameters.rope_type","run_name","save_on_each_node","save_only_model","save_steps","save_strategy","save_total_limit","skip_memory_metrics","study","sweep_name","tie_word_embeddings","torch_compile","train_sampling_strategy","transformers_version","use_cache","use_cpu","use_liger_kernel","vocab_size","probes","probe/DayM","probe/FP","probe/MP","probe/YearMD","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second","birthdayProbe/DayM","birthdayProbe/FP","birthdayProbe/MP","birthdayProbe/YearMD"
"grid-L4-H4-E8-20260518-155004","","","","","","","","","","running","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T12:08:39.000Z","2311","","12","8","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","256","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","256","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","682","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3700224","4","4","4","4","4","8","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H4-E8","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H4-E8","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","","7.93047140217438","184550","0.12954102456569672","1.886141511494577e-7","0.5604315185546875","","","","","","","",""
"grid-L4-H4-E4-20260518-155004","0","0.11632653061224488","0","0.8689795918367347","0","0","0.9812244897959184","0","0.8689795918367347","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T11:40:26.000Z","1693","","12","4","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","256","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","256","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","682","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3700224","4","4","4","4","4","4","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H4-E4","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H4-E4","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","10795089027661824","4","93084","0.1407652497291565","3.5645723894806024e-10","0.5610256576538086","0.6750941365479572","1169.3423","955.228","79.604","","","",""
"grid-L4-H2-E16-20260518-155004","0","0.21142857142857144","0","0.6595918367346939","0","0","0.9240816326530612","0","0.6595918367346939","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T10:14:43.000Z","5142","","12","16","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","341","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1064192","2","4","2","4","2","16","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H2-E16","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H2-E16","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","10802994943623168","16","372336","0.5150392651557922","2.4496784878369484e-11","0.5795114517211915","0.7184312222190504","4616.4509","967.833","80.654","","","",""
"grid-L4-H2-E12-20260518-155004","0","0.21428571428571427","0","0.48775510204081635","0","0.0012244897959183673","0.826530612244898","0","0.48775510204081635","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T09:08:16.000Z","3986","","12","12","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","341","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1064192","2","4","2","4","2","12","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H2-E12","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H2-E12","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","8102246207717376","12","279252","0.5097506642341614","2.8681751418346836e-13","0.5938200378417968","0.751221167491483","3461.3787","968.101","80.677","","","",""
"grid-L4-H2-E8-20260518-155004","0","0.15183673469387754","0","0.32857142857142857","0","0","0.8424489795918367","0","0.32857142857142857","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T08:21:07.000Z","2828","","12","8","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","341","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1064192","2","4","2","4","2","8","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H2-E8","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H2-E8","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","5401497471811584","8","186168","0.4605005085468292","2.5978560358463907e-11","0.5967398834228516","0.7779241548222406","2301.8023","970.533","80.879","","","",""
"grid-L4-H2-E4-20260518-155004","0","0.05346938775510205","0","0.044081632653061226","0","0","0.44081632653061226","0","0.044081632653061226","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T07:52:08.000Z","1736","","12","4","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","341","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1064192","2","4","2","4","2","4","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L4-H2-E4","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L4-H2-E4","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","2700748735905792","4","93084","0.4991953372955322","3.5645723894806024e-10","0.6924492645263672","0.9218427077704806","1151.9948","969.612","80.802","","","",""
"grid-L2-H8-E16-20260518-155004","0","0.04897959183673469","0","0.9175510204081632","0","0.0008163265306122449","0.9812244897959184","0","0.9175510204081632","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T06:54:50.000Z","3436","","12","16","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1365","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7401472","8","2","8","2","8","16","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L2-H8-E16","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L2-H8-E16","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","86374767183003650","16","372336","0.13644175231456757","2.4496784878369484e-11","0.5542486953735352","0.5983479063448706","3088.902","1446.453","120.54","","","",""
"grid-L2-H8-E12-20260518-155004","0","0.04163265306122449","0","0.9363265306122448","0","0","0.9812244897959184","0","0.9363265306122448","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T06:10:35.000Z","2654","","12","12","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1365","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7401472","8","2","8","2","8","12","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L2-H8-E12","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L2-H8-E12","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","64781075387252740","12","279252","0.12108515202999116","2.8681751418346836e-13","0.5542000579833984","0.6113855316777156","2319.2733","1444.834","120.405","","","",""
"grid-L2-H8-E8-20260518-155004","0","0.00040816326530612246","0","0.9240816326530612","0","0","0.9812244897959184","0","0.9240816326530612","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T05:39:19.000Z","1875","","12","8","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1365","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7401472","8","2","8","2","8","8","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L2-H8-E8","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L2-H8-E8","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","43187383591501820","8","186168","0.121520534157753","2.5978560358463907e-11","0.5571769714355469","0.6730217963058821","1541.0539","1449.642","120.806","","","",""
"grid-L2-H8-E4-20260518-155004","0","0.00040816326530612246","0","0.8979591836734694","0","0","0.9812244897959184","0","0.8979591836734694","finished","-","","bioS_N-Bd-Bc-lama_epoch_GRID, grid","2026-05-19T05:20:55.000Z","1103","","12","4","[""birthday"",""birthcity""]","1","20260518-155004","100","0.001","llama","50000","bioS_N-Bd-Bc-lama_epoch_GRID","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_postreduce.bin","cache/bioS_N-Bd-Bc-lama_epoch_GRID/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","2164","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","2164","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1365","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7401472","8","2","8","2","8","4","adamw_torch_fused","false","runs/bioS_N-Bd-Bc-lama_epoch_GRID/20260518-155004/grid/grid-L2-H8-E4","false","8","12","false","1","huggingface","false","2164","2165","false","[""wandb""]","false","true","0.000001","10000","default","grid-L2-H8-E4","false","false","2000","steps","5","true","grid","bioS_N-Bd-Bc-lama_epoch_GRID-20260518-155004","true","false","random","5.8.1","false","false","false","2165","[""sequential"",""separate""]","","","","","21593691795750910","4","93084","0.1368490755558014","3.5645723894806024e-10","0.5605814361572266","0.7327264048555168","764.4963","1461.077","121.759","","","",""
