"Name","State","Notes","User","Tags","Created","Runtime","Sweep","BATCH_SIZE","EPOCHS","FIELDS","GRAD_CLIP","INVOCATION","K","LR","MODEL_TYPE","N","NAME","POST_REDUCE_PATH","PRE_REDUCE_PATH","SEED","SEQ_LEN","SHUFFLE_SEED","WARMUP_STEPS","WEIGHT_DECAY","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","attention_bias","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","dmodel","do_eval","do_predict","do_train","enable_jit_checkpoint","eosToken","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","head_dim","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","mlp_bias","model/num_parameters","numHeads","numLayers","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","pretraining_tp","project","push_to_hub","reducedEOSToken","reducedVocabSize","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.rope_theta","rope_parameters.rope_type","run_name","save_on_each_node","save_only_model","save_steps","save_strategy","save_total_limit","skip_memory_metrics","study","sweep_name","tie_word_embeddings","torch_compile","train_sampling_strategy","transformers_version","use_cache","use_cpu","use_liger_kernel","vocab_size","probe/DayM","probe/FP","probe/MP","probe/YearMD","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"heads-8-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, heads","2026-05-18T05:01:44.000Z","231","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","2048","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","13527552","8","4","8","4","8","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/heads/heads-8","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-8","false","false","2000","steps","5","true","heads","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","1","0.8726086956521739","0.8982608695652174","0.9721739130434782","6797328470507520","1","14649","0.18024107813835144","3.311107658809931e-8","0.8362647247314453","1.1497547337932223","180.0034","976.554","81.382"
"heads-6-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, heads","2026-05-18T04:57:55.000Z","229","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","384","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","384","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1536","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7786368","6","4","6","4","6","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/heads/heads-6","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-6","false","false","2000","steps","5","true","heads","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.9995652173913044","0.8895652173913043","0.8913043478260869","0.9982608695652174","3823963829305344","1","14649","0.2131619304418564","3.311107658809931e-8","0.8372847747802734","1.179314084130836","178.2271","986.286","82.193"
"heads-3-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, heads","2026-05-18T04:54:08.000Z","227","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","4","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/heads/heads-3","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-3","false","false","2000","steps","5","true","heads","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.8334782608695652","0.02826086956521739","0.05521739130434783","0.7713043478260869","956457521971200","1","14649","0.35709595680236816","3.311107658809931e-8","0.9818096923828123","1.3914811533216291","176.1181","998.097","83.177"
"heads-2-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, heads","2026-05-18T04:50:23.000Z","225","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1022592","2","4","2","4","2","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/heads/heads-2","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-2","false","false","2000","steps","5","true","heads","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.18956521739130436","0.009565217391304347","0.057391304347826085","0.2104347826086957","425299594051584","1","14649","0.7031593322753906","3.311107658809931e-8","1.3412747192382812","1.6441744392223672","175.2562","1003.006","83.586"
"layers-10-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:42:54.000Z","449","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","4780224","3","10","3","10","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-10","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-10","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.7904347826086957","0.24434782608695652","0.3339130434782609","0.8021739130434783","2390988283379712","1","14649","0.32472074031829834","3.311107658809931e-8","0.8746563720703125","1.3275413880356994","352.1178","499.217","41.603"
"layers-8-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:36:38.000Z","375","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3894720","3","8","3","8","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-8","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-8","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.9482608695652174","0.7221739130434782","0.8073913043478261","0.9230434782608696","1912811362910208","1","14649","0.27802935242652893","3.311107658809931e-8","0.84387451171875","1.2835114608161546","294.9959","595.883","49.658"
"layers-6-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:31:38.000Z","300","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3009216","3","6","3","6","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-6","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-6","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.8965217391304348","0.6126086956521739","0.7208695652173913","0.9147826086956522","1434634442440704","1","14649","0.34065374732017517","3.311107658809931e-8","0.852916488647461","1.3204916720260442","235.8207","745.41","62.119"
"layers-4-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:27:51.000Z","226","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","4","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-4","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-4","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.8334782608695652","0.02826086956521739","0.05521739130434783","0.7713043478260869","956457521971200","1","14649","0.35709595680236816","3.311107658809931e-8","0.9818096923828123","1.3914811533216291","177.5781","989.891","82.493"
"layers-3-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:24:45.000Z","185","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1680960","3","3","3","3","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-3","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-3","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.41","0.02391304347826087","0.09478260869565218","0.4695652173913043","717369061736448","1","14649","0.5955258011817932","3.311107658809931e-8","1.049302520751953","1.4509080924209177","144.6902","1214.892","101.244"
"layers-2-20260517-213819","finished","-","","bioS_name_date_small_gpt_abalation, layers","2026-05-18T04:22:15.000Z","149","","12","1","[""birthday""]","1","20260517-213819","100","0.001","gpt2","50000","bioS_name_date_small_gpt_abalation","cache/bioS_name_date_small_gpt_abalation/bios_postreduce.bin","cache/bioS_name_date_small_gpt_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","768","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1238208","3","2","3","2","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_gpt_abalation/20260517-213819/layers/layers-2","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-2","false","false","2000","steps","5","true","layers","bioS_name_date_small_gpt_abalation-20260517-213819","true","false","random","5.8.1","false","false","false","1836","0.508695652173913","0.016956521739130436","0.057391304347826085","0.5117391304347826","478280601501696","1","14649","0.7282822728157043","3.311107658809931e-8","1.0726976013183591","1.460619046082797","115.9559","1515.947","126.332"
