"Name","numLayers","numHeads","EPOCHS","probe/FP","probe/MP","probe/DayM","probe/YearMD","State","Notes","User","Tags","Created","Runtime","Sweep","BATCH_SIZE","FIELDS","GRAD_CLIP","INVOCATION","K","LR","MODEL_TYPE","N","NAME","POST_REDUCE_PATH","PRE_REDUCE_PATH","SEED","SEQ_LEN","SHUFFLE_SEED","WARMUP_STEPS","WEIGHT_DECAY","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adam_beta1","adam_beta2","adam_epsilon","attention_bias","attention_dropout","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","dmodel","do_eval","do_predict","do_train","enable_jit_checkpoint","eosToken","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_strategy","eval_use_gather_object","fp16","fp16_full_eval","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","full_determinism","gradient_accumulation_steps","gradient_checkpointing","head_dim","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","ignore_data_skip","include_for_metrics","include_num_input_tokens_seen","initializer_range","intermediate_size","is_encoder_decoder","label2id.LABEL_0","label2id.LABEL_1","label_smoothing_factor","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","mlp_bias","model/num_parameters","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","optim","output_attentions","output_dir","output_hidden_states","per_device_eval_batch_size","per_device_train_batch_size","prediction_loss_only","pretraining_tp","project","push_to_hub","reducedEOSToken","reducedVocabSize","remove_unused_columns","report_to","restore_callback_states_from_checkpoint","return_dict","rms_norm_eps","rope_parameters.rope_theta","rope_parameters.rope_type","run_name","save_on_each_node","save_only_model","save_steps","save_strategy","save_total_limit","skip_memory_metrics","study","sweep_name","tie_word_embeddings","torch_compile","train_sampling_strategy","transformers_version","use_cache","use_cpu","use_liger_kernel","vocab_size","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","total_flos","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"heads-8-20260517-005847","4","8","1","0.8469565217391304","0.8504347826086956","0.9960869565217392","0.9991304347826088","finished","-","","bioS_name_date_small_lama_abalation, heads","2026-05-17T09:22:11.000Z","1467","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","512","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","512","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1365","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","13525504","8","4","8","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/heads/heads-8","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-8","false","false","2000","steps","5","true","heads","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.22582727670669556","3.311107658809931e-8","0.8441830444335937","6796222539497472","1.3006441435461378","1380.8708","127.299","10.609"
"heads-6-20260517-005847","4","6","1","0.8804347826086957","0.8813043478260869","0.9986956521739132","1","finished","-","","bioS_name_date_small_lama_abalation, heads","2026-05-17T09:04:13.000Z","1078","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","384","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","384","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","1024","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","7786368","6","4","6","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/heads/heads-6","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-6","false","false","2000","steps","5","true","heads","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.21271754801273343","3.311107658809931e-8","0.8372335815429688","3823963829305344","1.1843947231488812","1005.3563","174.846","14.571"
"heads-3-20260517-005847","4","3","1","0.030434782608695653","0.07347826086956522","0.8795652173913043","0.8221739130434783","finished","-","","bioS_name_date_small_lama_abalation, heads","2026-05-17T08:53:06.000Z","667","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/heads/heads-3","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-3","false","false","2000","steps","5","true","heads","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.4004678130149842","3.311107658809931e-8","0.9927626037597655","956457521971200","1.4250063047578974","596.5359","294.673","24.557"
"heads-2-20260517-005847","4","2","1","0","0.049130434782608694","0.020869565217391303","0.23695652173913043","finished","-","","bioS_name_date_small_lama_abalation, heads","2026-05-17T08:43:24.000Z","582","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","128","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","128","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","341","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1022080","2","4","2","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/heads/heads-2","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","heads-2","false","false","2000","steps","5","true","heads","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.6017165780067444","3.311107658809931e-8","1.3533952331542969","425023111299072","1.642409430436205","511.1766","343.879","28.657"
"layers-10-20260517-005847","10","3","1","0.6665217391304348","0.731304347826087","0.9839130434782608","0.9195652173913044","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T08:18:04.000Z","1520","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","4780224","3","10","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-10","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-10","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.3462216258049011","3.311107658809931e-8","0.8592495727539062","2390988283379712","1.3362872837037223","1370.4511","128.267","10.689"
"layers-8-20260517-005847","8","3","1","0.07","0.07608695652173914","0.952608695652174","0.9978260869565218","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T07:57:19.000Z","1244","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3894720","3","8","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-8","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-8","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.26388558745384216","3.311107658809931e-8","0.9743497467041016","1912811362910208","1.3835223464398134","1116.6363","157.422","13.119"
"layers-6-20260517-005847","6","3","1","0.15391304347826087","0.15608695652173912","0.9830434782608696","0.98","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T07:41:22.000Z","957","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","3009216","3","6","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-6","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-6","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.30750247836112976","3.311107658809931e-8","0.9732288360595704","1434634442440704","1.3417786535642864","858.3936","204.781","17.066"
"layers-4-20260517-005847","4","3","1","0.030434782608695653","0.07347826086956522","0.8795652173913043","0.8221739130434783","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T07:30:15.000Z","666","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","2123712","3","4","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-4","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-4","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.4004678130149842","3.311107658809931e-8","0.9927626037597655","956457521971200","1.4250063047578974","596.1077","294.885","24.574"
"layers-3-20260517-005847","3","3","1","0.06086956521739131","0.07086956521739131","0.9421739130434784","0.8578260869565217","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T07:21:30.000Z","524","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1680960","3","3","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-3","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-3","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.4545212686061859","3.311107658809931e-8","0.9874483489990236","717369061736448","1.421530136159438","467.5035","376.004","31.335"
"layers-2-20260517-005847","2","3","1","0.00391304347826087","0.033478260869565214","0.12347826086956522","0.6191304347826087","finished","-","","bioS_name_date_small_lama_abalation, layers","2026-05-17T07:15:07.000Z","383","","12","[""birthday""]","1","20260517-005847","100","0.001","llama","50000","bioS_name_date_small_lama_abalation","cache/bioS_name_date_small_lama_abalation/bios_postreduce.bin","cache/bioS_name_date_small_lama_abalation/bios_prereduce.bin","0","512","1","1000","0.01","","true","false","false","true","0.9","0.999","1e-8","false","0","false","true","false","true","false","1835","0","false","2","false","true","1800","[]","false","192","false","false","false","false","50256","1835","0","true","false","no","false","false","false","[]","0","false","false","false","false","1","false","64","silu","192","false","every_save","<HUB_TOKEN>","LABEL_0","LABEL_1","false","[]","no","0.02","512","false","0","1","0","0.001","length","false","-1","passive","warning","true","false","true","50","steps","cosine","1","512","-1","false","1238208","3","2","3","1","adamw_torch_fused","false","runs/bioS_name_date_small_lama_abalation/20260517-005847/layers/layers-2","false","8","12","false","1","huggingface","false","1835","1836","false","[""wandb""]","false","true","0.000001","10000","default","layers-2","false","false","2000","steps","5","true","layers","bioS_name_date_small_lama_abalation-20260517-005847","true","false","random","5.8.1","false","false","false","1836","1","14649","0.5341138243675232","3.311107658809931e-8","1.1911196136474609","478280601501696","1.512513380944505","336.5198","522.356","43.531"
